TEST_ITEM_COMMUNICATIONKEY,window_size,block_size,num_twins,MSE
716679764,2,1,10,188590.57367346942
735286989,2,1,10,8585.391110204084
796628327,2,1,10,13120.75
803656013,2,1,10,605834.3502040817
804245827,2,1,10,8723.58909387755
807444298,2,1,10,12277.307910204083
811224241,2,1,10,285990.5607836734
811350832,2,1,10,578661.0616408163
811405342,2,1,10,9762.770612244902
813036796,2,1,10,12179.32142857143
815378026,2,1,10,23039.609012244906
821340660,2,1,10,19249.761395918358
821851364,2,1,10,159498.8878040816
824008632,2,1,10,310761.7312979592
824014002,2,1,10,1459.263640816327
824093461,2,1,10,9240.109216326535
829628090,2,1,10,1731805.488130612
830443285,2,1,10,27072.225338775515
831771058,2,1,10,211374.02033469392
831990789,2,1,10,235321.93543673464
832793358,2,1,10,284658.34272653057
832928980,2,1,10,15233.706971428566
832932915,2,1,10,287061.3301142857
832947522,2,1,10,53482.25772244899
832962701,2,1,10,620078.8964816326
833085457,2,1,10,30728.591836734693
833087665,2,1,10,118938.22755918361
836346869,2,1,10,19066.872448979593
836353167,2,1,10,632887.8665795919
837663879,2,1,10,298155.83529795916
837668025,2,1,10,373240.38844081626
837717257,2,1,10,2008.3042857142868
842058910,2,1,10,1437664.1820326531
845044335,2,1,10,106887.82480816326
847162421,2,1,10,7406.036212244895
848151556,2,1,10,677409.8329061226
848764870,2,1,10,258067.91721632655
850549205,2,1,10,30047.21142857144
850562202,2,1,10,8776.296122448977
850564755,2,1,10,33110.56453877551
850575936,2,1,10,37487.86396734695
856030354,2,1,10,5282.1254775510215
856030824,2,1,10,6834.973216326529
856065671,2,1,10,2337.4716408163254
860861951,2,1,10,44850.764081632646
863526628,2,1,10,377716.19816326525
868192553,2,1,10,292.1144816326531
869459445,2,1,10,142466.52906938776
929877038,2,1,10,8361.326530612245
943969594,2,1,10,431678.44000000006
943981017,2,1,10,175057.32808979586
1030393072,2,1,10,54532.65184489797
1035064903,2,1,10,24658.305012244895
1035065755,2,1,10,31106.513461224484
1035556462,2,1,10,1245.6593877551015
1037689383,2,1,10,20659.04923265306
1061289615,2,1,10,281862.14213061216
1062867487,2,1,10,7745.933673469388
1063668113,2,1,10,7540.921175510208
1063721481,2,1,10,324672.7420081633
1064483626,2,1,10,144553.29380408165
1064587225,2,1,10,8372.271216326528
1064614421,2,1,10,150442.44408163268
1064646595,2,1,10,124514.41844081636
1066797131,2,1,10,70862.9672163265
1069872187,2,1,10,12900.961175510207
1085391770,2,1,10,14173.982726530603
1088105426,2,1,10,44649.68792653062
1088112515,2,1,10,207845.2004163265
1088136910,2,1,10,7836.543673469387
1088218093,2,1,10,105982.7328897959
1089781589,2,1,10,119553.82860408163
1089827822,2,1,10,47879.51408163265
1091814217,2,1,10,73606.27666122452
1093205481,2,1,10,34984.8469877551
1093460235,2,1,10,76601.45693877549
1100406492,2,1,10,38091.382032653055
1104772642,2,1,10,31805.994808163265
1105145372,2,1,10,17977.166848979592
1105151446,2,1,10,29497.20525714286
1105152913,2,1,10,12362.689175510208
1107699346,2,1,10,898921.8786612244
1107705014,2,1,10,189592.32080816326
1108166267,2,1,10,68162.56000000001
1178366721,2,1,10,74119.49403265303
1182041425,2,1,10,8704.124497959187
1276335264,2,1,10,345804.59862040816
1285920100,2,1,10,311773.60178775515
1354957437,2,1,10,224560.95408163266
1402591736,2,1,10,27414.132987755096
1556889332,2,1,10,36424.115028571454
1561695466,2,1,10,1292.7124489795922
1574713555,2,1,10,715017.8727428572
1582267634,2,1,10,74790.88864489795
1585619152,2,1,10,33770.86082448983
1594262232,2,1,10,18072.5940489796
1594263670,2,1,10,42678.587910204056
1594271549,2,1,10,10478.387755102041
1617994924,2,1,10,63558.01053877551
1711757436,2,1,10,96900.66836734694
716679764,2,2,10,198699.49482448984
735286989,2,2,10,14654.804987755104
796628327,2,2,10,13503.568522448983
803656013,2,2,10,607319.0075428572
804245827,2,2,10,9488.980930612244
807444298,2,2,10,12636.040906122455
811224241,2,2,10,343733.7881142858
811350832,2,2,10,583909.1173469388
811405342,2,2,10,12064.272742857136
813036796,2,2,10,12300.670236734699
815378026,2,2,10,25923.10905306124
821340660,2,2,10,19477.946734693884
821851364,2,2,10,101633.13270204082
824008632,2,2,10,305979.4398285714
824014002,2,2,10,1753.8058448979593
824093461,2,2,10,9786.227395918366
829628090,2,2,10,1771593.2774204079
830443285,2,2,10,28024.79265306123
831771058,2,2,10,228746.99807346938
831990789,2,2,10,255910.1224489796
832793358,2,2,10,280187.6757142857
832928980,2,2,10,19089.573640816332
832932915,2,2,10,281056.6310530613
832947522,2,2,10,52046.553624489796
832962701,2,2,10,620414.4439510205
833085457,2,2,10,41094.70729795917
833087665,2,2,10,118598.7707673469
836346869,2,2,10,15975.490048979591
836353167,2,2,10,544811.3297224491
837663879,2,2,10,291968.270522449
837668025,2,2,10,391131.0226530612
837717257,2,2,10,2509.2726204081646
842058910,2,2,10,1445262.224285714
845044335,2,2,10,106492.6424163265
