TEST_ITEM_COMMUNICATIONKEY,window_size,block_size,num_twins,MSE
716679764,2,1,10,185059.5180452133
735286989,2,1,10,9698.205731458012
796628327,2,1,10,13530.312021075122
803656013,2,1,10,597711.0782916653
804245827,2,1,10,7442.587245136835
807444298,2,1,10,12364.028009744667
811224241,2,1,10,322550.61259639444
811350832,2,1,10,577400.222051877
811405342,2,1,10,9218.660220528656
813036796,2,1,10,12865.47934051478
815378026,2,1,10,22360.187139936133
821340660,2,1,10,18596.949928792088
821851364,2,1,10,118004.10485982109
824008632,2,1,10,321117.7386818849
824014002,2,1,10,1135.1823069450502
824093461,2,1,10,9128.716308789135
829628090,2,1,10,1711701.8980438253
830443285,2,1,10,23286.126074688495
831771058,2,1,10,227427.68495800998
831990789,2,1,10,256782.99028909364
832793358,2,1,10,283711.96947585756
832928980,2,1,10,16138.719935423705
832932915,2,1,10,277848.6270814186
832947522,2,1,10,50603.909111191846
832962701,2,1,10,607447.725283815
833085457,2,1,10,31366.112551001792
833087665,2,1,10,129388.67489364573
836346869,2,1,10,17950.92417384478
836353167,2,1,10,577715.5144099618
837663879,2,1,10,295042.40229340893
837668025,2,1,10,362148.6075532936
837717257,2,1,10,1641.4211865179582
842058910,2,1,10,1431679.243017416
845044335,2,1,10,113271.6479536222
847162421,2,1,10,7528.009868057936
848151556,2,1,10,672206.5848396453
848764870,2,1,10,259243.4012727612
850549205,2,1,10,26296.596798082162
850562202,2,1,10,9928.955899205373
850564755,2,1,10,23633.428998506286
850575936,2,1,10,40780.35080825615
856030354,2,1,10,5284.667736296331
856030824,2,1,10,6804.291991859371
856065671,2,1,10,2423.6054599484137
860861951,2,1,10,42820.83624451552
863526628,2,1,10,386299.800204698
868192553,2,1,10,336.05124443724384
869459445,2,1,10,136714.41585273622
929877038,2,1,10,8323.652210745538
943969594,2,1,10,437617.91603403166
943981017,2,1,10,171005.1444266327
1030393072,2,1,10,51289.877111815986
1035064903,2,1,10,28399.186351418466
1035065755,2,1,10,27633.16772487471
1035556462,2,1,10,1405.691312740549
1037689383,2,1,10,20481.432528637677
1061289615,2,1,10,283323.3690537864
1062867487,2,1,10,5948.3817195110405
1063668113,2,1,10,6459.0735325851565
1063721481,2,1,10,326723.2762694309
1064483626,2,1,10,150188.61111938467
1064587225,2,1,10,9593.451652198546
1064614421,2,1,10,151302.22405742467
1064646595,2,1,10,129395.58108661251
1066797131,2,1,10,70175.66996676833
1069872187,2,1,10,10527.292038778181
1085391770,2,1,10,12782.631238748525
1088105426,2,1,10,44940.02154723056
1088112515,2,1,10,198353.5859637167
1088136910,2,1,10,10823.895105285601
1088218093,2,1,10,100400.71025111161
1089781589,2,1,10,118002.83037898694
1089827822,2,1,10,48313.314942540645
1091814217,2,1,10,64372.18690689838
1093205481,2,1,10,31029.21824119001
1093460235,2,1,10,93734.72271092451
1100406492,2,1,10,42264.16146793444
1104772642,2,1,10,30432.034149441733
1105145372,2,1,10,19014.243937358056
1105151446,2,1,10,28199.070537916385
1105152913,2,1,10,12893.153147812203
1107699346,2,1,10,900184.7271876012
1107705014,2,1,10,186317.35450225347
1108166267,2,1,10,66470.69813486084
1178366721,2,1,10,74772.14447152935
1182041425,2,1,10,10110.37494439734
1276335264,2,1,10,346260.4447501053
1285920100,2,1,10,313154.84298289893
1354957437,2,1,10,238822.54080771882
1402591736,2,1,10,23932.827084595345
1556889332,2,1,10,33372.51194644491
1561695466,2,1,10,1203.1411394029237
1574713555,2,1,10,749808.1150156899
1582267634,2,1,10,75399.14589110544
1585619152,2,1,10,38462.25628035876
1594262232,2,1,10,16591.126523856696
1594263670,2,1,10,43763.454619904864
1594271549,2,1,10,9877.699592727753
1617994924,2,1,10,56309.145801398605
1711757436,2,1,10,91034.07097481057
716679764,2,2,10,194599.01817738827
735286989,2,2,10,13256.087117786505
796628327,2,2,10,13704.83138331974
803656013,2,2,10,607519.0202792436
804245827,2,2,10,7543.573796648345
807444298,2,2,10,12689.060047769935
811224241,2,2,10,325430.3613519701
811350832,2,2,10,578381.8114226466
811405342,2,2,10,11156.321316675225
813036796,2,2,10,13052.639950613295
815378026,2,2,10,26652.295463326438
821340660,2,2,10,19507.23672092561
821851364,2,2,10,127560.53305177548
824008632,2,2,10,326951.42574278923
824014002,2,2,10,1561.634729992008
824093461,2,2,10,9692.670450693779
829628090,2,2,10,1726105.5801066796
830443285,2,2,10,25151.69973230845
831771058,2,2,10,231801.01230653934
831990789,2,2,10,271969.31146757817
832793358,2,2,10,287855.41646857274
832928980,2,2,10,18084.72446666036
832932915,2,2,10,278776.5481059451
832947522,2,2,10,52796.076285679694
832962701,2,2,10,608752.9288068961
833085457,2,2,10,42395.715173545694
833087665,2,2,10,137094.89086300676
836346869,2,2,10,18339.892687842133
836353167,2,2,10,588391.9396315947
837663879,2,2,10,295458.1966237001
837668025,2,2,10,367318.9010310033
837717257,2,2,10,1945.75991928933
842058910,2,2,10,1432385.9446934562
845044335,2,2,10,115901.4412516115
847162421,2,2,10,9709.992357959201
848151556,2,2,10,673373.210025096
848764870,2,2,10,259639.44335251072
850549205,2,2,10,30468.529778248678
850562202,2,2,10,10951.096390566883
850564755,2,2,10,31507.044489702716
850575936,2,2,10,45681.580804049445
856030354,2,2,10,5596.856624906981
856030824,2,2,10,7199.857520250663
856065671,2,2,10,2842.8074073858343
860861951,2,2,10,43432.858444019716
863526628,2,2,10,398319.3482669994
868192553,2,2,10,415.5919493695382
869459445,2,2,10,139045.9019261157
929877038,2,2,10,8672.72655646173
943969594,2,2,10,438975.83542723005
943981017,2,2,10,173026.66765024333
1030393072,2,2,10,51663.603139713596
1035064903,2,2,10,29278.582919061995
1035065755,2,2,10,28515.19993279572
1035556462,2,2,10,1538.7957814325177
1037689383,2,2,10,24942.40374228185
1061289615,2,2,10,283371.50324890827
1062867487,2,2,10,7822.4455144727635
1063668113,2,2,10,9149.955993907413
1063721481,2,2,10,327961.76192084694
1064483626,2,2,10,154706.34153712532
1064587225,2,2,10,9908.987378234448
1064614421,2,2,10,151886.03451623174
1064646595,2,2,10,129805.44750804751
1066797131,2,2,10,70445.86664970845
1069872187,2,2,10,16867.180379971112
1085391770,2,2,10,14792.19168025889
1088105426,2,2,10,47610.54745477431
1088112515,2,2,10,202268.4840203756
1088136910,2,2,10,14831.948438631647
1088218093,2,2,10,111771.28874826343
1089781589,2,2,10,126191.04660698253
1089827822,2,2,10,48461.53594909913
1091814217,2,2,10,74639.7386550201
1093205481,2,2,10,35830.64302227087
1093460235,2,2,10,101583.27978645393
1100406492,2,2,10,44643.66520899842
1104772642,2,2,10,31037.031617712557
1105145372,2,2,10,19818.60933236926
1105151446,2,2,10,29712.97174590356
1105152913,2,2,10,14314.945640825557
1107699346,2,2,10,904624.9847063901
1107705014,2,2,10,189465.6881530473
